,Name,Category,Category_1,Location,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,Location_2
982,수푸렁,샤브샤브,한식,연남,마포구,예약,4.6,44,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
983,테라스바 글라스,"칵테일,위스키",주류,석촌,송파구,예약,4.7,11,영업안함,15000.0,,,10000.0,20000.0,석촌
984,제일 연남,중식,중식,연남,마포구,예약,4.3,5,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
985,짐승고깃간,"육류,고기요리",한식,강남구청,강남구,예약,4.8,11,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남구청
986,지노스 뉴욕 피자 이태원점,피자,양식,이태원,용산구,예약,4.3,6,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,이태원
987,미나리 즉석떡볶이 앤 호프,한식,한식,동대문,동대문구,예약,5.0,2,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,동대문
988,레인리포트 브리티시,"카페,디저트",카페,연남,마포구,예약,4.3,49,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
989,을지다락 본점,이탈리아음식,양식,을지로,중구,예약,4.7,25,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,을지로
990,심야식당중도,이자카야,일식,신대방,동작구,예약,4.9,18,영업안함,15000.0,,,10000.0,20000.0,신대방
991,리커테이션,와인,주류,가로수길,강남구,예약,5.0,3,영업안함,15000.0,,,10000.0,20000.0,가로수길
992,이키,이자카야,일식,합정,마포구,예약,4.8,120,영업안함,15000.0,,,10000.0,20000.0,합정
993,에프더블유브이 용산점,피자,양식,용산,용산구,예약,4.7,444,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,용산
994,야키토리리,야키토리,일식,샤로수길,관악구,예약,4.9,42,영업안함,15000.0,,,10000.0,20000.0,샤로수길
